,temperature,rain_1h,snow_1h,clouds_percentage,date_time,binary_holiday,population_density
1375,271.79,0.0,0.0,64,0,1,480
1686,261.68,0.0,0.0,1,0,1,812
2212,270.73,0.0,0.0,20,0,1,623
3349,293.02,0.0,0.0,1,0,1,494
4109,288.38,0.0,0.0,1,0,1,1082
4355,265.35,0.0,0.0,90,0,1,785
4734,297.55,0.0,0.0,1,0,1,1021
5906,257.95,0.0,0.0,1,0,1,1092
5966,290.08,0.0,0.0,1,0,1,1060
6201,271.94,0.0,0.0,1,0,1,1324
6244,293.17,1.52,0.0,90,0,1,1064
7099,294.31,0.0,0.0,40,0,1,967
7868,284.62,0.0,0.0,1,0,1,549
8184,297.42,0.0,0.0,12,0,1,661
10756,299.487,0.0,0.0,24,0,1,1088
12732,285.059,0.0,0.0,68,0,1,629
14269,288.78,0.0,0.0,0,0,1,1041
14874,249.36,0.0,0.0,1,0,1,1478
16537,295.54,0.0,0.0,1,0,1,1026
16858,293.17,1.52,0.0,90,0,1,1064
18411,289.69,0.0,0.0,90,0,1,657
18527,274.34,0.0,0.0,75,0,1,763
19584,270.62,0.0,0.0,90,0,1,798
20468,275.44,0.0,0.0,64,0,1,514
20631,263.49,0.0,0.0,58,0,1,1439
20648,281.96,0.0,0.0,1,0,1,572
23221,289.95,0.0,0.0,1,0,1,1115
23922,292.43,0.25,0.0,1,0,1,962
25430,273.08,0.0,0.0,20,0,1,455
25813,264.4,0.0,0.0,90,0,1,803
26392,277.22,0.0,0.0,90,0,1,833
27475,283.35,0.0,0.0,75,0,1,559
27530,277.22,0.0,0.0,90,0,1,833
28181,262.54,0.0,0.0,90,0,1,600
28460,265.94,0.0,0.0,90,0,1,1513
29294,266.08,0.0,0.0,1,0,1,698
30569,268.24,0.0,0.0,64,0,1,929
30910,289.02,0.0,0.0,1,0,1,596
33117,269.09,0.0,0.0,90,0,1,894
33630,260.17,0.25,0.0,64,0,1,712
33737,262.54,0.0,0.0,90,0,1,600
34454,295.02,0.0,0.0,90,0,1,973
35766,286.37,0.0,0.0,90,0,1,863
36111,267.44,0.0,0.0,90,0,1,583
36576,282.341,0.0,0.0,0,0,1,484
37085,293.41,0.0,0.0,1,0,1,1225
38545,277.72,0.0,0.0,0,0,1,615
38655,285.87,0.0,0.0,40,0,1,1538
39228,289.2,0.0,0.0,1,0,1,959
39367,262.54,0.0,0.0,90,0,1,600
42429,278.54,0.0,0.0,20,0,1,919
43348,266.08,0.0,0.0,1,0,1,698
31429,275.15,0.0,0.0,90,22,0,3218
22424,286.86,0.0,0.0,20,14,0,5976
8123,290.62,0.0,0.0,1,0,0,603
21286,290.15,0.0,0.0,1,8,0,4940
6179,290.83,0.0,0.0,1,14,0,5191
10270,290.04,0.51,0.0,92,23,0,793
14426,294.15,0.0,0.0,1,1,0,668
8356,295.88,0.0,0.0,75,17,0,6110
1293,275.89,0.0,0.0,90,20,0,2505
24054,293.21,0.0,0.0,75,11,0,5168
5192,291.15,0.0,0.0,90,10,0,4246
17520,285.16,0.0,0.0,1,7,0,6066
34013,299.65,0.0,0.0,40,22,0,2190
11513,284.05,0.25,0.0,1,4,0,807
21714,291.36,0.0,0.0,24,3,0,401
35402,279.35,0.0,0.0,90,5,0,3011
2506,274.95,0.0,0.0,90,10,0,4175
7592,279.89,0.0,0.0,90,10,0,3990
37497,271.38,0.0,0.0,1,2,0,271
24906,266.16,0.0,0.0,1,10,0,4498
35544,291.79,0.68,0.0,100,14,0,5640
24688,272.63,0.0,0.0,90,0,0,1190
7829,284.99,0.0,0.0,1,1,0,859
17480,289.81,0.0,0.0,90,15,0,5764
22327,280.43,0.0,0.0,5,20,0,2937
23866,260.59,0.0,0.0,1,23,0,1153
5968,272.49,0.0,0.0,1,22,0,2301
41487,295.82,0.0,0.0,40,3,0,368
7071,286.36,0.0,0.0,90,15,0,4087
39467,290.57,0.0,0.0,90,9,0,3245
23087,296.69,0.0,0.0,1,11,0,4255
2446,262.15,0.0,0.0,1,19,0,3364
40199,287.43,0.0,0.0,1,19,0,3380
26027,272.35,0.0,0.0,90,23,0,964
1046,275.48,0.0,0.0,90,10,0,4706
7612,267.89,0.0,0.0,90,1,0,776
19708,291.12,0.0,0.0,20,14,0,5044
1131,292.59,0.0,0.0,1,7,0,6049
17583,300.25,1.78,0.0,90,13,0,4890
6189,274.21,0.0,0.0,90,12,0,4593
41074,294.55,0.0,0.0,75,10,0,3463
1363,270.71,0.0,0.0,90,5,0,462
31401,287.46,0.0,0.0,90,20,0,3101
20207,292.35,0.0,0.0,90,3,0,353
33872,276.82,0.0,0.0,90,18,0,4549
3960,282.14,0.0,0.0,1,0,0,1785
40816,288.76,0.0,0.0,1,3,0,364
24553,270.82,0.0,0.0,20,9,0,3842
33492,290.42,0.0,0.0,90,0,0,551
4204,275.22,0.0,0.0,90,9,0,5583
42994,280.71,0.0,0.0,20,10,0,4547
16510,276.44,0.0,0.0,90,16,0,4079
